City,City_Safe,Lat,Lon,Climate_Proxy,Income_Level,Population,ISO2
Najrān,Najrn,17.49326,44.12766,Tropical,HIC,505652,SA
Makkah,Makkah,21.42664,39.82563,Tropical,HIC,1578722,SA
Honolulu,Honolulu,21.30694,-157.85833,Tropical,HIC,350964,US
Khamis Mushait,Khamis_Mushait,18.3,42.73333,Tropical,HIC,387553,SA
Ta’if,Taif,21.27028,40.41583,Tropical,HIC,688693,SA
Jeddah,Jeddah,21.49012,39.18624,Tropical,HIC,4697000,SA
João Pessoa,Joo_Pessoa,-7.115,-34.86306,Tropical,UMC,817511,BR
Yangjiang,Yangjiang,21.85563,111.96272,Tropical,UMC,1292987,CN
Cartagena,Cartagena,10.39817,-75.49328,Tropical,UMC,914552,CO
Ixtapaluca,Ixtapaluca,19.31556,-98.88284,Tropical,UMC,322271,MX
Arequipa,Arequipa,-16.39899,-71.53747,Tropical,UMC,1008290,PE
Medellín,Medelln,6.245,-75.57151,Tropical,UMC,1999979,CO
Yulin,Yulin,22.6305,110.14686,Tropical,UMC,1056743,CN
Soledad,Soledad,10.91843,-74.76459,Tropical,UMC,342556,CO
Pasir Gudang,Pasir_Gudang,1.462,103.9053,Tropical,UMC,534659,MY
Sandakan,Sandakan,5.8402,118.1179,Tropical,UMC,439050,MY
Bauru,Bauru,-22.31472,-49.06056,Tropical,UMC,379297,BR
Belém,Belm,-1.45583,-48.50444,Tropical,UMC,1499641,BR
Cimahi,Cimahi,-6.87222,107.5425,Tropical,LMC,590782,ID
Brazzaville,Brazzaville,-4.26613,15.28318,Tropical,LMC,1982000,CG
Indore,Indore,22.71792,75.8333,Tropical,LMC,1994397,IN
Buôn Ma Thuột,Bun_Ma_Thut,12.66747,108.03775,Tropical,LMC,434256,VN
Surat,Surat,21.19594,72.83023,Tropical,LMC,4591246,IN
Bhilai,Bhilai,21.20919,81.4285,Tropical,LMC,627734,IN
Petare,Petare,10.47679,-66.80786,Tropical,LMC,364684,VE
Kano,Kano,12.00012,8.51672,Tropical,LMC,4910000,NG
Bhubaneswar,Bhubaneswar,20.27241,85.83385,Tropical,LMC,885363,IN
Tuen Mun,Tuen_Mun,22.39175,113.97157,Tropical,LMC,507900,HK
Bắc Từ Liêm,Bc_T_Lim,21.06532,105.74661,Tropical,LMC,340605,VN
Mandaluyong City,Mandaluyong_City,14.5832,121.0409,Tropical,LMC,465902,PH
Uvira,Uvira,-3.39534,29.13779,Tropical,LIC,407092,CD
Goma,Goma,-1.67409,29.22845,Tropical,LIC,432587,CD
Quelimane,Quelimane,-17.87861,36.88833,Tropical,LIC,349842,MZ
Kinshasa,Kinshasa,-4.32758,15.31357,Tropical,LIC,16000000,CD
Zinder,Zinder,13.80716,8.9881,Tropical,LIC,318874,NE
Al Ḩudaydah,Al_udaydah,14.79781,42.95452,Tropical,LIC,734699,YE
Sikasso,Sikasso,11.31755,-5.66654,Tropical,LIC,349324,ML
Nampula,Nampula,-15.11646,39.2666,Tropical,LIC,770379,MZ
Khartoum North,Khartoum_North,15.64925,32.53458,Tropical,LIC,1012211,SD
Matadi,Matadi,-5.83861,13.46306,Tropical,LIC,425662,CD
Kira,Kira,0.4,32.63333,Tropical,LIC,462900,UG
Kisangani,Kisangani,0.51528,25.19099,Tropical,LIC,1181788,CD
Ranchi,Ranchi,23.34316,85.3094,Tropical,LMC,1120374,IN
Anápolis,Anpolis,-16.32667,-48.95278,Tropical,UMC,319587,BR
Betim,Betim,-19.96778,-44.19833,Tropical,UMC,384000,BR
Guatemala City,Guatemala_City,14.64072,-90.51327,Tropical,LMC,994938,GT
Chennai,Chennai,13.08784,80.27847,Tropical,LMC,4681087,IN
Vellore,Vellore,12.9184,79.13255,Tropical,LMC,484690,IN
Pekalongan,Pekalongan,-6.8886,109.6753,Tropical,LMC,317524,ID
Korba,Korba,22.3458,82.69633,Tropical,LMC,419146,IN
Kurume,Kurume,33.31667,130.51667,Arid,HIC,303579,JP
Toyonaka,Toyonaka,34.78244,135.46932,Arid,HIC,401558,JP
Wakayama,Wakayama,34.23333,135.16667,Arid,HIC,356729,JP
Tampa,Tampa,27.94752,-82.45843,Arid,HIC,414547,US
Ras Al Khaimah,Ras_Al_Khaimah,25.78953,55.9432,Arid,HIC,351943,AE
Suita,Suita,34.76143,135.51567,Arid,HIC,385567,JP
Miyazaki,Miyazaki,31.91667,131.41667,Arid,HIC,401339,JP
Al Kharj,Al_Kharj,24.15541,47.33457,Arid,HIC,425300,SA
Newcastle,Newcastle,-32.92953,151.7801,Arid,HIC,508437,AU
Kobe,Kobe,34.6913,135.183,Arid,HIC,1525152,JP
Phoenix,Phoenix,33.44838,-112.07404,Arid,HIC,1650070,US
Nishinomiya,Nishinomiya,34.71562,135.33199,Arid,HIC,485587,JP
Jardim Angela,Jardim_Angela,-23.71636,-46.76872,Arid,UMC,311432,BR
Jiading,Jiading,31.38575,121.24465,Arid,UMC,1886100,CN
Ensenada,Ensenada,31.87149,-116.60071,Arid,UMC,443807,MX
Thembisa,Thembisa,-25.99636,28.2268,Arid,UMC,511655,ZA
Sanming,Sanming,26.24861,117.61861,Arid,UMC,602166,CN
Sorocaba,Sorocaba,-23.50167,-47.45806,Arid,UMC,687357,BR
Jiujiang,Jiujiang,29.70475,116.00206,Arid,UMC,1164268,CN
Anshun,Anshun,26.25,105.93333,Arid,UMC,765313,CN
Kunming,Kunming,25.03889,102.71833,Arid,UMC,3855346,CN
Guangyuan,Guangyuan,32.44201,105.823,Arid,UMC,516424,CN
Lu’an,Luan,31.73561,116.51688,Arid,UMC,1644344,CN
Suizhou,Suizhou,31.71111,113.36306,Arid,UMC,618582,CN
Maipú,Maip,-33.51421,-70.7651,Arid,LMC,503635,CL
Natore,Natore,24.41112,88.98673,Arid,LMC,369138,BD
Abū al-Kahṣīb,Ab_al_Kahb,30.4431,47.87802,Arid,LMC,357771,IQ
Ghāziābād,Ghzibd,28.66535,77.43915,Arid,LMC,1199191,IN
Karnāl,Karnl,29.69197,76.98448,Arid,LMC,302140,IN
Srinagar,Srinagar,34.08565,74.80555,Arid,LMC,1206419,IN
Zarqa,Zarqa,32.07275,36.08796,Arid,LMC,792665,JO
Shekhupura,Shekhupura,31.71287,73.98556,Arid,LMC,591424,PK
Taoyuan,Taoyuan,24.99368,121.29696,Arid,LMC,475798,TW
Gujrat,Gujrat,32.5742,74.07542,Arid,LMC,574240,PK
Jodhpur,Jodhpur,26.26841,73.00594,Arid,LMC,1056191,IN
Sahiwal,Sahiwal,30.66595,73.10186,Arid,LMC,538344,PK
Kabul,Kabul,34.52813,69.17233,Arid,LIC,4434550,AF
Ţarţūs,ars,34.88902,35.88659,Arid,LIC,458327,SY
Kandahār,Kandahr,31.61332,65.71013,Arid,LIC,523300,AF
Damascus,Damascus,33.5102,36.29128,Arid,LIC,1569394,SY
Herāt,Hert,34.34817,62.19967,Arid,LIC,574300,AF
Maputo,Maputo,-25.96553,32.58322,Arid,LIC,1254837,MZ
Matola,Matola,-25.96222,32.45889,Arid,LIC,1198988,MZ
Homs,Homs,34.72405,36.72559,Arid,LIC,775404,SY
Dammam,Dammam,26.43442,50.10326,Arid,HIC,1252523,SA
Zhabei,Zhabei,31.25861,121.45972,Arid,UMC,840000,CN
Al Başrah al Qadīmah,Al_Barah_al_Qadmah,30.50316,47.81507,Arid,LMC,2015483,IQ
Yancheng,Yancheng,33.3575,120.1573,Arid,UMC,1615717,CN
Mardan,Mardan,34.19794,72.04965,Arid,LMC,300424,PK
Heyuan,Heyuan,23.73333,114.68333,Arid,UMC,463907,CN
Stuttgart,Stuttgart,48.78232,9.17702,Temperate,HIC,612663,DE
Marne La Vallée,Marne_La_Valle,48.83584,2.64241,Temperate,HIC,318325,FR
South Boston,South_Boston,42.33343,-71.04949,Temperate,HIC,571281,US
Pyeongtaek,Pyeongtaek,36.99472,127.08889,Temperate,HIC,364694,KR
Tulsa,Tulsa,36.15398,-95.99277,Temperate,HIC,413066,US
Vaughan,Vaughan,43.8361,-79.49827,Temperate,HIC,323103,CA
Valencia,Valencia,39.47391,-0.37966,Temperate,HIC,824340,ES
Kyoto,Kyoto,35.02107,135.75385,Temperate,HIC,1463723,JP
Gumi,Gumi,36.1136,128.336,Temperate,HIC,404691,KR
Sagamihara,Sagamihara,35.56707,139.24167,Temperate,HIC,720780,JP
Edogawe,Edogawe,35.69225,139.87308,Temperate,HIC,697932,JP
Brooklyn,Brooklyn,40.6501,-73.94958,Temperate,HIC,2736074,US
Xinxiang,Xinxiang,35.19033,113.80151,Temperate,UMC,1047088,CN
Linfen,Linfen,36.08889,111.51889,Temperate,UMC,959198,CN
Eskişehir,Eskiehir,39.77667,30.52056,Temperate,UMC,921630,TR
Xilinhot,Xilinhot,43.93889,116.07021,Temperate,UMC,349953,CN
Malatya,Malatya,38.35018,38.31667,Temperate,UMC,750491,TR
Yantai,Yantai,37.47649,121.44081,Temperate,UMC,2227733,CN
Weifang,Weifang,36.71,119.10194,Temperate,UMC,2044028,CN
Binzhou,Binzhou,37.36667,118.01667,Temperate,UMC,682717,CN
Jinzhong,Jinzhong,37.68403,112.75471,Temperate,UMC,1226617,CN
Datong,Datong,40.09361,113.29139,Temperate,UMC,1850000,CN
Fushun,Fushun,41.88669,123.94363,Temperate,UMC,1400646,CN
Antalya,Antalya,36.90812,30.69556,Temperate,UMC,1335002,TR
Ulan Bator,Ulan_Bator,47.90771,106.88324,Temperate,LMC,844818,MN
Karaj,Karaj,35.83266,50.99155,Temperate,LMC,1448075,IR
Tashkent,Tashkent,41.26465,69.21627,Temperate,LMC,1978028,UZ
Tbilisi,Tbilisi,41.69143,44.83412,Temperate,LMC,1049498,GE
Andijon,Andijon,40.78338,72.35067,Temperate,LMC,747800,UZ
Makiyivka,Makiyivka,48.04782,37.92576,Temperate,LMC,338968,UA
Manukau City,Manukau_City,-36.99282,174.87986,Temperate,LMC,362000,NZ
Shahrīār,Shahrr,35.65884,51.05775,Temperate,LMC,309607,IR
Plovdiv,Plovdiv,42.15387,24.75001,Temperate,LMC,329489,BG
Tirana,Tirana,41.32744,19.81866,Temperate,LMC,418495,AL
Zanjan,Zanjan,36.67642,48.49628,Temperate,LMC,357471,IR
Ashgabat,Ashgabat,37.95,58.38333,Temperate,LMC,1030063,TM
